"","Open","High","Low","Close","Volume","Adjusted"
"2015-01-02",526.114746,528.362366,521.231628,521.937744,1447600,521.937744
"2015-01-05",520.39624,521.460388,510.252045,511.057617,2059800,511.057617
"2015-01-06",512.181458,513.350037,498.3078,499.212799,2899900,499.212799
"2015-01-07",504.22522,504.467896,496.915436,498.357513,2065100,498.357513
"2015-01-08",495.264526,500.724487,488.312805,499.928864,3353600,499.928864
"2015-01-09",501.997498,502.156616,492.082062,493.454498,2069400,493.454498
"2015-01-12",492.231232,493.261566,484.891632,489.854309,2322400,489.854309
"2015-01-13",496.109894,500.227234,489.69519,493.464447,2370500,493.464447
"2015-01-14",491.94281,500.475861,490.301849,498.128784,2235700,498.128784
"2015-01-15",502.80304,502.912445,495.035797,499.043732,2715800,499.043732
"2015-01-16",497.273468,505.408722,497.263519,505.299316,2298300,505.299316
"2015-01-20",508.203339,509.695129,503.246613,504.125763,2227900,504.125763
"2015-01-21",504.473846,516.437988,503.429596,515.204773,2268700,515.204773
"2015-01-22",518.625977,533.394714,516.855713,531.465332,2676900,531.465332
"2015-01-23",532.658752,539.202759,530.082947,536.994873,2273000,536.994873
"2015-01-26",535.582642,536.05011,526.771179,532.280823,1543700,532.280823
"2015-01-27",527.069519,527.795532,515.354004,515.791565,1904000,515.791565
"2015-01-28",519.918884,520.127686,507.208801,507.208801,1683800,507.208801
"2015-01-29",508.203339,508.292847,498.45697,507.865204,4186400,507.865204
"2015-01-30",513.036743,536.915344,512.698608,531.594604,5606400,531.594604
"2015-02-02",528.819885,530.082947,515.712036,525.587646,2849800,525.587646
"2015-02-03",525.110291,530.480713,520.39624,526.343506,2034800,526.343506
"2015-02-04",526.343506,529.756714,518.417114,519.898987,1663700,519.898987
"2015-02-05",520.92334,525.607544,519.232666,524.692566,1849800,524.692566
"2015-02-06",524.752258,534.259949,523.528992,528.093872,1749400,528.093872
"2015-02-09",525.110291,529.088379,523.141113,524.941223,1267800,524.941223
"2015-02-10",526.403198,534.757202,524.036194,534.001343,1749900,534.001343
"2015-02-11",532.370361,535.503113,530.458862,533.036682,1377800,533.036682
"2015-02-12",534.309692,541.838257,531.746765,539.958557,1620200,539.958557
"2015-02-13",540.376282,546.900391,540.157471,546.00531,1900300,546.00531
"2015-02-17",543.837219,546.989868,538.128662,539.86908,1616800,539.86908
"2015-02-18",538.436951,542.504578,534.568237,536.746277,1451600,536.746277
"2015-02-19",535.097717,540.140015,535.067932,539.901306,991800,539.901306
"2015-02-20",540.157471,540.774109,532.867615,536.000366,1444400,536.000366
"2015-02-23",533.116211,533.503113,526.512573,528.998901,1457900,528.998901
"2015-02-24",527.099365,533.852173,525.358948,533.156006,1005100,533.156006
"2015-02-25",532.967041,543.230591,532.514526,540.893433,1826000,540.893433
"2015-02-26",540.237061,553.096313,538.536377,552.43988,2311500,552.43988
"2015-02-27",551.206665,561.619385,549.874023,555.343933,2410200,555.343933
"2015-03-02",557.46228,569.018677,555.692017,568.213074,2129600,568.213074
"2015-03-03",567.327942,572.240906,563.419495,570.500488,1704800,570.500488
"2015-03-04",568.740173,573.951538,564.901306,570.231995,1718500,570.231995
"2015-03-05",571.872925,574.747131,570.27179,572.181274,1389600,572.181274
"2015-03-06",571.733704,573.523865,563.658142,564.578125,1659100,564.578125
"2015-03-09",563.757629,567.148926,560.450806,565.736694,1062100,565.736694
"2015-03-10",561.161926,561.758606,551.694031,551.972473,1772400,551.972473
"2015-03-11",552.101746,555.085327,547.666138,548.163452,1820800,548.163452
"2015-03-12",550.480652,553.325012,547.447388,552.469727,1389600,552.469727
"2015-03-13",550.470703,555.343933,541.241516,544.324585,1703600,544.324585
"2015-03-16",547.934692,553.802368,543.01178,551.47522,1641000,551.47522
"2015-03-17",548.690552,550.769104,545.000854,547.825317,1803200,547.825317
"2015-03-18",549.476196,556.71637,544.006287,556.437866,2130200,556.437866
"2015-03-19",556.328491,557.730774,553.101257,554.936157,1197300,554.936157
"2015-03-20",558.576111,558.645752,555.990356,557.293213,2616900,557.293213
"2015-03-23",557.362793,559.282227,552.787964,555.751648,1630100,555.751648
"2015-03-24",559.48114,571.445313,558.13855,567.069397,2583300,567.069397
"2015-03-25",567.377686,569.128052,555.682068,555.726807,2152300,555.726807
"2015-03-26",554.53833,555.841187,547.636353,552.131592,1572600,552.131592
"2015-03-27",549.97345,552.240967,545.130127,545.338989,1894400,545.338989
"2015-03-30",548.601013,550.440918,545.169922,549.008789,1287500,549.008789
"2015-03-31",546.989868,551.674133,543.727844,545.000854,1588000,545.000854
"2015-04-01",545.597534,548.123657,536.547363,539.590576,1952900,539.590576
"2015-04-02",537.889954,537.889954,530.925293,532.59906,1716400,532.59906
"2015-04-06",529.30719,535.463318,526.671692,533.827332,1324400,533.827332
"2015-04-07",535.135132,539.71991,533.066528,534.080933,1302900,534.080933
"2015-04-08",535.433472,540.873535,535.433472,538.645813,1178500,538.645813
"2015-04-09",538.06897,538.983948,532.559326,537.820374,1557900,537.820374
"2015-04-10",539.322083,539.322083,534.369324,537.054565,1409500,537.054565
"2015-04-13",535.463318,541.082397,534.369324,536.219177,1645300,536.219177
"2015-04-14",533.315125,534.62793,525.201782,527.487183,2597300,527.487183
"2015-04-15",525.808838,531.805847,520.358765,529.617859,2325200,529.617859
"2015-04-16",526.999878,532.658752,526.711487,530.87854,1299900,530.87854
"2015-04-17",525.766663,526.940247,518.158569,521.181885,2144100,521.181885
"2015-04-20",522.72345,533.156006,521.629456,532.44989,1679300,532.44989
"2015-04-21",534.570618,536.440369,530.756592,531.049988,1849800,531.049988
"2015-04-22",531.475281,538.118713,528.839783,536.413086,1593600,536.413086
"2015-04-23",538.039124,547.944641,537.273376,544.006287,4184900,544.006287
"2015-04-24",563.00177,568.01416,554.200195,561.967468,4932500,561.967468
"2015-04-27",563.390015,565.950012,553.200012,555.369995,2398000,555.369995
"2015-04-28",554.640015,556.02002,550.366028,553.679993,1491000,553.679993
"2015-04-29",550.469971,553.679993,546.905029,549.080017,1698800,549.080017
"2015-04-30",547.869995,548.590027,535.049988,537.340027,2082200,537.340027
"2015-05-01",538.429993,539.539978,532.099976,537.900024,1768200,537.900024
"2015-05-04",538.530029,544.070007,535.059998,540.780029,1308000,540.780029
"2015-05-05",538.210022,539.73999,530.390991,530.799988,1383100,530.799988
"2015-05-06",531.23999,532.380005,521.085022,524.219971,1567000,524.219971
"2015-05-07",523.98999,533.460022,521.75,530.700012,1546300,530.700012
"2015-05-08",536.650024,541.150024,525,538.219971,1527600,538.219971
"2015-05-11",538.369995,541.97998,535.400024,535.700012,905300,535.700012
"2015-05-12",531.599976,533.208984,525.26001,529.039978,1634200,529.039978
"2015-05-13",530.559998,534.322021,528.655029,529.619995,1252300,529.619995
"2015-05-14",533.77002,539,532.409973,538.400024,1403900,538.400024
"2015-05-15",539.179993,539.273987,530.380005,533.849976,1971300,533.849976
"2015-05-18",532.01001,534.820007,528.849976,532.299988,1998600,532.299988
"2015-05-19",533.97998,540.659973,533.039978,537.359985,1966900,537.359985
"2015-05-20",538.48999,542.919983,532.971985,539.27002,1430800,539.27002
"2015-05-21",537.950012,543.840027,535.97998,542.51001,1462700,542.51001
"2015-05-22",540.150024,544.190002,539.51001,540.109985,1176200,540.109985
"2015-05-26",538.119995,539,529.880005,532.320007,2406500,532.320007
"2015-05-27",532.799988,540.549988,531.710022,539.789978,1525000,539.789978
"2015-05-28",538.01001,540.609985,536.25,539.780029,1029800,539.780029
"2015-05-29",537.369995,538.630005,531.450012,532.109985,2584900,532.109985
"2015-06-01",536.789978,536.789978,529.76001,533.98999,1904300,533.98999
"2015-06-02",532.929993,543,531.330017,539.179993,1934700,539.179993
"2015-06-03",539.909973,543.5,537.109985,540.309998,1717000,540.309998
"2015-06-04",537.76001,540.590027,534.320007,536.700012,1348300,536.700012
"2015-06-05",536.349976,537.200012,532.52002,533.330017,1388200,533.330017
"2015-06-08",533.309998,534.119995,526.23999,526.830017,1520600,526.830017
"2015-06-09",527.559998,529.200012,523.01001,526.690002,1455300,526.690002
"2015-06-10",529.359985,538.359985,529.349976,536.690002,1815000,536.690002
"2015-06-11",538.424988,538.97998,533.02002,534.609985,1217500,534.609985
